Date,Rate(in INR)
2018-08-13,70.017100763
2018-08-14,69.9031211643
2018-08-15,69.9262432647
2018-08-16,70.1908531223
2018-08-17,70.1602142042
2018-08-20,69.8248686515
2018-08-21,69.8152495218
2018-08-22,69.8949724518
2018-08-23,70.1109767683
2018-08-24,69.909820504
2018-08-27,70.1650477091
2018-08-28,70.1080273271
2018-08-29,70.6179245283
2018-08-30,70.7449538146
2018-08-31,71.002059909
2018-09-03,71.2150055991
2018-09-04,71.5849334025
2018-09-05,71.7522880332
2018-09-06,71.9593433041
2018-09-07,71.7348256565
2018-09-10,72.4548440066
2018-09-11,72.659841023
2018-09-12,72.2231333621
2018-09-13,72.0309810671
2018-09-14,71.8162374882
2018-09-17,72.5177791106
2018-09-18,72.9768316662
2018-09-19,72.3849318591
2018-09-20,72.0120655961
2018-09-21,72.19193809
2018-09-24,72.6802853988
2018-09-25,72.6946590813
2018-09-26,72.6071398143
2018-09-27,72.5916118562
2018-09-28,72.4913614375
2018-10-01,72.9118559366
2018-10-02,73.3778047301
2018-10-03,73.3607551091
2018-10-04,73.5767692575
2018-10-05,73.7732487398
2018-10-08,74.0616832201
2018-10-09,74.4066462615
